@relation Output

@attribute nHBAcc numeric
@attribute nHBDon numeric
@attribute naAromAtom numeric
@attribute nAtomP numeric
@attribute nB numeric
@attribute nAromBond numeric
@attribute nRotB numeric
@attribute ALogP numeric
@attribute ALogp2 numeric
@attribute AMR numeric
@attribute XLogP numeric
@attribute MLogP numeric
@attribute apol numeric
@attribute TopoPSA numeric
@attribute MW numeric
@attribute bpol numeric
@attribute ATSc1 numeric
@attribute ATSc2 numeric
@attribute ATSc3 numeric
@attribute ATSc4 numeric
@attribute ATSc5 numeric
@attribute ATSm1 numeric
@attribute ATSm2 numeric
@attribute ATSm3 numeric
@attribute ATSm4 numeric
@attribute ATSm5 numeric
@attribute nAcid numeric
@attribute nBase numeric
@attribute MOMI-X numeric
@attribute MOMI-Y numeric
@attribute MOMI-Z numeric
@attribute MOMI-XY numeric
@attribute MOMI-XZ numeric
@attribute MOMI-YZ numeric
@attribute MOMI-R numeric
@attribute AllSurfaceArea numeric
@attribute Association {Yes}

@data
4,2,12,9,22,12,5,1.423,2.024929,81.196,0.783,2.23,43.448274,105.51,290.137891,26.745726,0.653043,-0.428239,0.063054,0.129629,-0.063885,24.763328,24.989643,33.931019,38.037127,35.147985,0,0,4252.121917,3533.304614,718.817302,1.203441,5.915442,4.915442,6.919136,663.420184,Yes
5,3,6,8,19,6,2,-0.7456,0.555919,51.068,0.139,1.46,30.796723,110.6,263.071762,19.945277,0.864325,-0.397596,-0.063352,0.050004,-0.091417,25.181905,22.821122,37.86681,43.650149,34.052838,0,0,2741.440518,2211.163014,530.277504,1.239818,5.169822,4.169822,5.937449,512.076805,Yes
5,3,0,6,31,0,2,-0.944,0.891136,101.2953,1.138,3.22,62.623997,94.83,392.199903,34.822003,0.618258,-0.121141,-0.265055,0.144405,0.04068,33.374389,33.242245,58.066275,80.79602,73.66105,0,0,5541.54247,4631.299552,910.242918,1.196542,6.087982,5.087982,6.767807,522.467663,Yes
3,1,15,11,27,16,6,3.8178,14.575597,87.7712,1.888,2.23,46.970102,87.08,369.075882,28.507898,0.736925,-0.321076,-0.249827,0.186246,0.069814,38.262764,36.302601,54.331897,50.208807,44.360482,0,0,8576.389742,7735.868785,840.520957,1.108652,10.20366,9.20366,8.065335,700.399511,Yes
4,0,12,14,30,12,3,4.0288,16.231229,108.453,3.817,3.33,60.040239,42.43,382.144806,31.737761,0.447951,-0.369088,0.258484,-0.084488,-0.060626,36.981849,33.778956,48.947935,55.561093,53.727275,0,0,7291.269792,5072.333674,2218.936118,1.437459,3.28593,2.28593,8.453409,700.325364,Yes
6,1,15,14,31,16,5,2.0119,4.047742,104.2975,1.463,2.56,56.150653,106.95,383.159354,35.603347,0.883125,-0.573984,0.105797,0.207777,-0.398631,32.897778,35.152645,50.145756,54.279753,51.419163,0,0,10458.09215,9652.587354,805.504795,1.08345,12.983277,11.983277,8.429288,667.234568,Yes
2,0,12,13,23,12,4,3.5047,12.282922,89.0304,4.03,3.33,51.643032,6.48,280.193949,30.196968,0.161683,-0.098417,0.017837,-0.041549,0.088464,21.719961,23.997092,31.997092,36.329455,32.692344,0,1,3339.707266,2273.899577,1065.807689,1.468714,3.133499,2.133499,6.710429,606.120463,Yes
3,1,10,11,27,11,4,1.5097,2.279194,90.7055,2.604,3.22,55.007032,45.59,324.183778,31.452968,0.406714,-0.203344,-0.056349,0.127232,-0.122742,26.268899,28.827186,41.491641,45.211013,39.487645,0,1,4359.457913,3160.870792,1198.587121,1.379195,3.637164,2.637164,7.026015,564.226482,Yes
0,1,6,8,25,6,4,2.0261,4.105081,91.2138,6.475,3.55,58.56779,29.46,314.22458,34.71221,0.196795,-0.067619,-0.022757,-0.054262,0.04393,24.548938,25.996276,39.324644,42.324644,42.431205,0,0,5082.488469,4209.673435,872.815034,1.207336,5.823099,4.823099,7.284074,590.952485,Yes
1,1,12,7,23,12,7,3.8103,14.518386,78.3386,4.647,2.78,45.495274,21.26,309.134049,25.862726,0.471476,-0.280284,0.04646,-0.024467,0.089694,27.640582,25.741903,38.746038,35.317352,32.20663,0,1,4775.535393,4082.943284,692.592109,1.169631,6.895163,5.895163,6.957587,650.264044,Yes
2,0,12,13,23,12,4,4.8991,24.001181,91.5021,4.923,2.89,49.869067,31.78,318.095747,27.430933,0.197107,-0.110853,-0.014075,-0.025957,0.110554,35.560664,29.288433,43.579774,46.693229,40.095772,0,1,4379.524465,2868.485335,1511.039129,1.526772,2.898353,1.898353,7.259391,582.377483,Yes
6,2,6,10,21,6,1,-0.8833,0.780219,65.5796,-0.437,2.23,37.254309,92.5,259.095691,19.065691,0.511031,-0.274526,0.119587,-0.020496,-0.206069,22.403348,22.993368,34.986116,36.733451,31.954459,0,0,3130.77915,2594.887448,535.891702,1.206518,5.842186,4.842186,6.293098,527.81602,Yes
7,0,6,7,31,6,6,-1.8484,3.416583,102.1906,2.377,3,64.734583,69.64,385.247775,44.385417,0.622885,-0.432337,0.270503,-0.158375,-0.11477,31.34884,33.824549,47.512867,46.180533,42.259206,0,1,13442.43669,12861.32355,581.113134,1.045183,23.13222,22.13222,8.708043,747.835465,Yes
4,2,6,8,20,6,3,-2.3995,5.7576,49.6162,-0.12,1.57,34.976309,96.68,267.096754,21.343691,0.66877,-0.366069,0.185661,-0.35786,0.332685,23.897778,23.377512,33.591358,35.310942,32.780316,0,0,3780.387904,3354.73466,425.653244,1.126881,8.881379,7.881379,6.424323,506.422649,Yes
5,3,5,6,17,5,7,0.4122,0.169909,69.8653,1.025,1.79,37.768688,114.19,252.115716,25.051312,0.426306,-0.306744,0.154837,-0.126301,0.095463,25.287635,22.167572,25.970382,25.392333,23.507499,0,3,4837.685392,4512.384693,325.300699,1.072091,14.871426,13.871426,6.921625,567.422095,Yes
3,1,12,8,28,12,6,2.8325,8.023056,96.6907,4.02,3.22,57.737239,40.54,375.140135,29.704761,0.379203,-0.125405,-0.047932,-0.049903,0.029497,37.123912,31.696285,46.226117,46.724119,35.079841,0,1,13552.70048,13046.01287,506.687609,1.038839,26.747645,25.747645,8.657592,685.869939,Yes
11,4,22,6,53,22,22,3.5234,12.414348,195.9259,3.938,4.1,113.536064,202.26,720.312761,68.423936,1.029503,-0.704171,0.362667,-0.02414,-0.44173,68.287733,63.832058,89.13036,84.53838,85.36082,0,0,35487.63168,26639.31698,8848.3147,1.332152,4.010666,3.010666,13.307693,1170.990963,Yes
2,0,12,13,26,12,5,5.0496,25.49846,92.7461,5.226,2.78,51.120067,31.78,352.122104,30.619933,0.433714,-0.28028,0.047724,-0.003507,-0.019991,35.353846,32.082017,51.92772,52.280398,45.358592,0,1,5523.631803,3684.49633,1839.135473,1.499155,3.003385,2.003385,7.726379,613.486221,Yes
